code,category
01,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS"
02,BUSINESS OPERATIONS SPECIALISTS
03,FINANCIAL SPECIALISTS
04,COMPUTER AND MATHEMATICAL
05,ARCHITECTURE AND ENGINEERING
06,TECHNICIANS
07,"LIFE, PHYSICAL, AND SOCIAL SCIENCE"
08,COMMUNITY AND SOCIAL SERVICES
09,LEGAL
10,"EDUCATION, TRAINING, AND LIBRARY"
11,"ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA"
12,HEALTHCARE PRACTITIONERS AND TECHNICAL
13,HEALTHCARE SUPPORT
14,PROTECTIVE SERVICE
15,FOOD PREPARATION AND SERVING
16,BUILDING AND GROUNDS CLEANING AND MAINTENANCE
17,PERSONAL CARE AND SERVICE
18,SALES AND RELATED
19,OFFICE AND ADMINISTRATIVE SUPPORT
20,"FARMING, FISHING, AND FORESTRY"
21,CONSTRUCTION
22,EXTRACTION
23,"INSTALLATION, MAINTENANCE, AND REPAIR"
24,PRODUCTION
25,TRANSPORTATION AND MATERIAL MOVING
26,MILITARY SPECIFIC
27,UNEMPLOYED OR NEVER WORKED